event,attendance
United States,"440,000"
Australia,"419,114"
Great Britain,"401,000"
Mexico,"395,902"
Belgium,"360,000"
Canada,"338,000"
Italy,"337,000"
Netherlands,"305,000"
Singapore,"302,000"
Austria,"303,000"
Hungary,"290,000"
Spain,"277,836"
Miami,"242,955"
Brazil,"236,000"
France,"200,000"
Japan,"200,000"
Abu Dhabi,"160,000"
,
